"karyotype","count","fitness","weighted_ploidy"
"3.0.4.1.0.4.2.9.2.2.1.5.3.2.2.5.4.0.1.4.5.0",200,0.0707144472755754,2.6017744744693
"3.0.3.0.0.5.2.8.2.2.2.5.4.1.3.5.4.0.3.4.7.2",200,0.211704972841888,2.66919975494886
"3.0.3.0.0.6.2.8.0.4.2.5.2.1.3.5.4.0.3.4.6.2",200,0.12118540149218,2.62960768895203
"2.0.3.1.0.6.1.8.1.5.2.5.2.1.4.5.4.0.3.4.5.2",200,0.14074976859104,2.66765480098414
"2.1.3.1.1.6.1.8.1.5.2.5.1.2.3.5.4.1.3.1.5.2",200,0.345520101634486,2.73772807623578
"2.1.2.1.0.5.1.9.1.3.1.5.1.2.3.4.4.3.4.2.6.1",200,0.381828423435789,2.52248606705259
"3.0.3.1.0.6.1.9.0.3.1.5.1.2.1.2.3.2.4.3.5.2",200,0.484625028463638,2.43821918018449
"2.1.2.1.0.6.1.10.1.3.1.5.1.3.2.3.2.4.4.3.5.1",200,0.376850373170057,2.57892130187192
"2.2.2.1.1.6.0.10.0.2.2.5.1.2.2.3.2.4.4.3.6.1",200,0.211276608488588,2.60220705058813
"3.0.2.0.1.7.0.10.0.1.3.5.1.3.1.4.2.3.4.3.5.2",200,0.225607889813757,2.52066833271054
"2.0.0.0.0.7.2.9.0.2.3.4.1.3.1.4.2.4.3.3.5.2",200,0.0795716251853838,2.30110159433856
"3.0.0.0.0.7.2.9.0.2.2.4.1.3.1.5.3.3.4.3.4.2",200,0.0449462269849905,2.37727544409975
"3.0.1.0.0.7.3.8.0.2.2.4.1.3.2.3.4.3.5.2.6.3",200,0.157408749273303,2.50092293307662
"3.0.1.0.1.6.3.8.0.4.2.4.1.3.2.2.4.2.4.0.5.3",200,0.182720029453384,2.45688802108398
