"karyotype","fitness","is_fq","is_nn","boundary_degree"
"2.2.2.3.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.748124315669382,FALSE,TRUE,35
"2.2.2.2.3.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.723344254570386,FALSE,TRUE,35
"2.2.2.2.2.3.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.740148729083936,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.3.2.2.2.1.2.2.2.2.2.2.2.2.2",0.752671505666043,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2",0.775595498792841,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2",0.784141289124183,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.3.1.2.2.2.2.2.2.2.2.2",0.732475653532885,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.2.1.3.2.2.2.2.2.2.2.2",0.827773880809444,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.3.2.2.2.2.2.2.2",0.764969096561306,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.3.2.2.2.2.2.2",0.784734593110843,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.3.2.2.2.2.2",0.780886371801528,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.3.2.2.2.2",0.754636666888705,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.3.2.2.2",0.745505312126536,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.3.2.2",0.756675417523378,FALSE,TRUE,33
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.3.2",0.790944551471196,FALSE,TRUE,33
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.3",0.75819810922334,FALSE,TRUE,35
"1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.739033392014635,FALSE,TRUE,32
"2.1.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.82585364070452,FALSE,TRUE,34
"2.2.2.1.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.797133840273528,FALSE,TRUE,34
"2.2.2.2.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.783209340548845,FALSE,TRUE,34
"2.2.2.2.2.1.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.80270664742891,FALSE,TRUE,34
"2.2.2.2.2.2.1.1.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.754549684433474,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.1.2.2.2.1.2.2.2.2.2.2.2.2.2",0.77637395522794,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.1.2.2.1.2.2.2.2.2.2.2.2.2",0.74275856055409,FALSE,TRUE,34
